ID,Date,Time,Page Name,AVR_Age,product_name,Category,Reaction,Comments,Share ,Location,Review Rating
63,2/24/2022,10:35:00 PM,Shari Ghor,53,Sweater,Clothing,4200,3400,1200,Iowa,3.6
64,2/24/2022,9:37:00 PM,Apsara by Antara,25,Sneakers,Footwear,4500,928,98,Mississippi,4.1
65,2/24/2022,8:55:00 PM,TPHLOX,47,Shoes,Footwear,2300,1200,98,Colorado,2.7
66,2/24/2022,7:50:00 PM,Ismita Lifestyle,18,Sunglasses,Accessories,3100,2300,346,Nebraska,4.3
67,2/25/2022,10:52:00 PM,Makeup Chari,22,Shorts,Clothing,815,751,16,Virginia,4.9
68,2/26/2022,10:08:00 PM,Limited Edition BD,69,Hoodie,Clothing,3700,1700,108,Louisiana,4.2
69,2/26/2022,4:36:00 PM,Uronto,55,Scarf,Accessories,3400,2400,148,Maryland,2.8
70,2/26/2022,10:13:00 PM,Heyza,19,Sandals,Footwear,322,130,20,Minnesota,4.9
71,2/28/2022,3:49:00 PM,Pearl Palace,23,Hat,Accessories,196,620,137,Maine,2.8
72,03/01/2022,7:40:00 PM,Desire-Your Modest Lifestyle,54,Shoes,Footwear,8100,3200,310,Texas,2.9
73,03/01/2022,4:15:00 PM,SHIJANG,52,Sneakers,Footwear,342,256,245,Missouri,2.5
74,03/02/2022,10:44:00 PM,SHUNDOR,64,Backpack,Accessories,366,45,11,Mississippi,2.7
75,03/03/2022,11:45:00 PM,Meganil,33,Belt,Accessories,5400,1200,99,Michigan,3.3
76,03/03/2022,9:25:00 PM,Luxique,40,Shirt,Clothing,7000,2600,151,Colorado,3.7
77,03/03/2022,4:02:00 PM,Borka World,26,Skirt,Clothing,4600,1400,153,Florida,4
78,03/03/2022,9:01:00 PM,Be Beautiful 2,31,Gloves,Accessories,451,199,176,Montana,4.1
79,03/06/2022,10:17:00 PM,Fashion By Arora,23,Gloves,Accessories,3000,1900,47,Wisconsin,4.1
80,03/06/2022,8:15:00 PM,Adiyat,52,Handbag,Accessories,2300,1400,111,Wisconsin,2.5
81,03/06/2022,6:00:00 PM,Mehedi By Nowrin,21,Socks,Clothing,9000,46,1000,Delaware,4.2
82,03/08/2022,11:22:00 PM,Mojar Toh,31,Backpack,Accessories,1600,1200,106,North Carolina,4.7
83,03/08/2022,12:20:00 PM,Dhakaiya's Homemade Food,63,Jeans,Clothing,976,115,14,New York,2.7
84,03/09/2022,6:32:00 PM,Gems Gallery & Diamond,46,Skirt,Clothing,532,344,176,California,3
85,03/10/2022,11:11:00 PM,Hijab Prio,44,Hoodie,Clothing,19000,4400,567,Montana,4.8
86,03/10/2022,9:38:00 PM,Deshi Shari,57,Jewelry,Accessories,3200,3100,277,North Carolina,4.4
87,03/10/2022,4:21:00 PM,Fast Value BD,50,Sneakers,Footwear,5100,1900,193,Ohio,4.3
88,03/10/2022,6:31:00 PM,Bismillah Fashion by Sonia,33,Shirt,Clothing,319,75,36,Alaska,2.5
89,03/10/2022,1:10:00 PM,Estella,19,Sunglasses,Accessories,471,40,8,Pennsylvania,4.9
90,03/11/2022,11:19:00 PM,Korean Mart - Bangladesh,68,Dress,Clothing,733,565,411,Maine,4.9
91,03/11/2022,10:34:00 PM,Peach & Pink,27,Shoes,Footwear,7100,2900,305,Texas,3.9
92,03/11/2022,10:08:00 PM,Fashion By Zainab,61,Belt,Accessories,236,246,182,New Jersey,4.1
93,03/12/2022,10:20:00 PM,Dui Konna,38,Shirt,Clothing,4700,2600,122,Wyoming,3.3
94,03/12/2022,1:51:00 PM,Tarani Borkha Bazar,28,Boots,Footwear,2500,290,20,Michigan,4.1
95,3/13/2022,11:44:00 PM,Hijab Fashion wholesale BD,39,Hoodie,Clothing,19000,8200,782,Ohio,3.7
96,3/13/2022,10:44:00 PM,Meganil,18,Jeans,Clothing,5200,2000,130,West Virginia,3.1
97,3/14/2022,7:30:00 PM,Waania,24,Jacket,Outerwear,4800,1300,108,Virginia,3
98,3/14/2022,9:29:00 PM,ThirdEye Shoppers,64,Jacket,Outerwear,276,219,34,Vermont,3.4
99,3/15/2022,10:02:00 PM,Be Princess,51,Sandals,Footwear,5800,4500,77,Alaska,2.7
100,3/16/2022,11:33:00 PM,Ehan's,27,Dress,Clothing,10000,9400,571,Minnesota,3.1
101,3/16/2022,10:09:00 PM,Arisha Fashion House,48,Sweater,Clothing,7800,2800,147,Colorado,4
102,3/16/2022,6:35:00 PM,Make You Up by Fairuz's,69,Gloves,Accessories,495,628,511,Rhode Island,3.6
103,3/17/2022,8:05:00 PM,Styliya,59,Sunglasses,Accessories,5400,2000,137,New Jersey,3.6
104,3/17/2022,10:55:00 PM,Cooking Stove,59,Belt,Accessories,18000,4900,106,Nevada,3.3
105,3/19/2022,5:00:00 PM,Trend & Style Zone,42,Hat,Accessories,2000,115,427,Minnesota,4.1
106,3/19/2022,11:06:00 PM,Bithy's Gallery,39,Hat,Accessories,660,311,159,Delaware,4.3
107,3/19/2022,9:32:00 PM,Maheroo Style,32,Blouse,Clothing,378,201,13,Illinois,3.2
108,3/20/2022,7:41:00 PM,BABON,68,Shoes,Footwear,6000,3300,111,Washington,3.9
109,3/20/2022,9:48:00 PM,Feature,41,Skirt,Clothing,6900,5400,232,Alaska,5
110,3/20/2022,11:56:00 PM,Style by Tanzi,31,Sneakers,Footwear,4300,2100,55,Michigan,3.4
111,3/20/2022,9:38:00 PM,Imsak Shop Bf,58,T-shirt,Clothing,674,80,170,Georgia,3.8
112,3/23/2022,10:53:00 PM,Karu's Closet,28,Handbag,Accessories,5200,2900,101,West Virginia,2.9
113,3/23/2022,9:15:00 PM,Anika Fashion House ,63,Sweater,Clothing,4200,2700,97,Arizona,2.6
114,3/23/2022,10:06:00 PM,Mariyam's Ev,64,Gloves,Accessories,184,82,7,Colorado,4.3
115,3/24/2022,10:40:00 PM,Colonsoi,66,Dress,Clothing,4300,6100,760,Tennessee,2.8
116,3/25/2022,10:09:00 PM,Maisha's-Raiment,31,Dress,Clothing,394,253,137,Iowa,4.5
117,3/26/2022,9:32:00 PM,Sarafan's Boutique,55,Blouse,Clothing,130,73,129,Kansas,3.8
118,3/27/2022,4:02:00 PM,PoroshmoniShari,32,Shirt,Clothing,5550,1900,153,Oklahoma,3
119,3/28/2022,8:42:00 PM,6 Season's Gallery,50,Boots,Footwear,2300,141,67,Nebraska,3.3
120,3/28/2022,9:39:00 PM,StyleE,58,Jacket,Outerwear,3000,2000,682,Maryland,3.1
121,3/28/2022,3:57:00 PM,Mohsina's closet,18,Backpack,Accessories,3000,2000,65,Pennsylvania,3.5
122,3/29/2022,3:57:00 PM,Hijabiana,39,Pants,Clothing,3000,1000,103,Arizona,4.6
123,3/29/2022,11:34:00 PM,Colors by Liuny,56,Boots,Footwear,626,165,17,Oklahoma,4.1
124,3/30/2022,8:29:00 PM,Stylea,37,Socks,Clothing,3000,1000,69,Montana,3.6
125,3/30/2022,8:14:00 PM,Khanapina ,46,Scarf,Accessories,3000,833,100,Wyoming,2.9
126,3/31/2022,5:09:00 PM,Rapaj Creation,52,Blouse,Clothing,129,149,76,Idaho,4.8
127,3/31/2022,10:52:00 PM,Doogdoogi,70,Belt,Accessories,305,45,11,Pennsylvania,3.2
128,3/31/2022,11:34:00 PM,Budget Queen,61,Sunglasses,Accessories,258,25,13,Montana,4.3
129,3/31/2022,10:50:00 PM,Rimjhim,33,Boots,Footwear,401,77,10,Ohio,4.1
130,04/02/2022,11:14:00 PM,Shop.glamozen,65,Sandals,Footwear,2800,78,6,Mississippi,4.6
131,04/02/2022,10:37:00 PM,Blinqle,41,Gloves,Accessories,328,127,10,Idaho,3.8
132,04/02/2022,10:00:00 PM,The Look Book,19,Skirt,Clothing,362,262,17,Virginia,4.5
133,04/02/2022,10:31:00 PM,Fari's armoire,33,Skirt,Clothing,3000,642,18,Idaho,3.1
134,04/02/2022,8:15:00 PM,Amoree The Beauty House,53,Blouse,Clothing,6000,907,31,Louisiana,2.9
135,04/03/2022,12:28:00 PM,Anzum's Pastry Corner,54,Handbag,Accessories,1900,186,21,Colorado,3.8
136,04/04/2022,9:00:00 PM,Ummah's Kitchen,36,Boots,Footwear,467,116,4,West Virginia,4.1
137,04/04/2022,11:23:00 PM,Manic By Rabia,56,Boots,Footwear,1137,497,49,Rhode Island,3.1
138,04/04/2022,7:13:00 PM,Creamerio,28,Sweater,Clothing,1700,629,36,North Carolina,5
139,04/04/2022,11:46:00 PM,Classy Zone,34,Socks,Clothing,279,70,7,Maine,4.5
140,04/04/2022,10:48:00 PM,Miraan ,43,Gloves,Accessories,11000,1000,121,Iowa,2.8
141,04/04/2022,8:11:00 PM,Wear,54,Shorts,Clothing,118,189,498,Kentucky,3.2
142,04/05/2022,7:02:00 PM,Faria's Fashion BD,37,Boots,Footwear,850,269,45,Massachusetts,3.1
143,04/05/2022,10:22:00 PM,Kingsvisionbd.Com,33,Jacket,Outerwear,998,569,41,New York,3.3
144,04/05/2022,11:12:00 PM,MAJESTICA,33,Scarf,Accessories,3000,877,14,Nebraska,3.4
145,04/05/2022,10:16:00 PM,BBG Lifestyle,55,Jacket,Outerwear,2000,387,17,Oklahoma,3.8
146,04/06/2022,7:12:00 PM,The Dessert Corner,63,Jewelry,Accessories,1600,379,26,Oklahoma,3.5
147,04/06/2022,10:55:00 PM,Nosepin World,52,Hoodie,Clothing,2000,462,47,Rhode Island,4.8
148,04/06/2022,8:44:00 PM,Silver Coin,23,T-shirt,Clothing,159,399,116,Maine,3.9
149,04/06/2022,10:11:00 PM,Chinese Fashion Hub,70,Shirt,Clothing,485,276,249,Arkansas,3.4
150,04/07/2022,11:52:00 PM,Sanvee's Dream,64,Shirt,Clothing,479,155,60,New Mexico,2.6
151,04/07/2022,7:49:00 PM,Cosmetiva,22,Coat,Outerwear,13000,2500,358,Hawaii,3.1
152,04/07/2022,11:05:00 PM,Sreyoshi,46,T-shirt,Clothing,364,378,101,Idaho,3.3
153,04/07/2022,9:23:00 PM,Simrin Designer's Choice,65,Hoodie,Clothing,10000,954,102,South Carolina,2.8
154,04/08/2022,10:42:00 PM,Pure Bake BD,18,Sunglasses,Accessories,3400,666,55,Nevada,4.3
155,04/08/2022,1:40:00 PM,HamaanDista,45,Blouse,Clothing,6700,765,68,South Carolina,2.7
156,04/08/2022,5:06:00 PM,GoodiesDeal,56,Hoodie,Clothing,4900,482,88,Maryland,4.4
157,04/09/2022,4:12:00 PM,GlamDust,49,Skirt,Clothing,4000,942,107,Tennessee,3.9
158,04/09/2022,11:53:00 PM,Mahiya's Collection,66,Shorts,Clothing,516,273,51,Arkansas,3
159,04/09/2022,8:58:00 PM,Shopaholic We,27,Jeans,Clothing,1000,680,442,Arizona,4
160,04/10/2022,7:14:00 PM,Henna By Methila ,69,Jacket,Outerwear,2000,675,25,Ohio,3.7
161,04/10/2022,12:37:00 PM,Belassea BD,66,Hoodie,Clothing,2100,416,12,North Dakota,3.8
162,04/10/2022,9:30:00 PM,Taazra,45,Shirt,Clothing,452,222,13,Vermont,3.3
163,04/10/2022,11:24:00 PM,Clothing Express,31,T-shirt,Clothing,316,67,17,Minnesota,3.6
164,04/11/2022,7:39:00 PM,Jotey,33,Blouse,Clothing,2100,157,77,Idaho,3.9
165,04/11/2022,10:18:00 PM,ZaynMyza Bangladesh,43,Skirt,Clothing,374,499,19,Maryland,3.5
166,04/11/2022,8:20:00 PM,Twin's Butterfly,25,Backpack,Accessories,521,508,45,South Carolina,3.4
167,04/11/2022,9:11:00 PM,BBG Lifestyle,46,Shorts,Clothing,3000,432,26,California,4.7
168,04/11/2022,3:17:00 PM,Nurjahan's,67,Shirt,Clothing,107,28,49,Georgia,3
169,04/12/2022,2:21:00 PM,Focallure Bangladesh,26,Backpack,Accessories,1000,1100,121,Vermont,3.9
170,04/12/2022,7:55:00 PM,Labony Fashion,35,Shoes,Footwear,1900,410,83,Georgia,4.5
171,04/12/2022,11:27:00 PM,BD Beauty Glamorous,61,Skirt,Clothing,561,235,22,New Jersey,4.1
172,04/12/2022,3:02:00 PM,Korean Mart - Bangladesh,26,Dress,Clothing,1900,376,119,Utah,4.5
173,04/12/2022,5:05:00 PM,Sarafan's Boutique,39,Hat,Accessories,1000,66,10,Utah,4
174,04/12/2022,8:36:00 PM,JK Foreign Brands,69,Handbag,Accessories,1700,160,7,North Carolina,4.3
175,04/12/2022,11:12:00 PM,Dressed By Rumpa,32,Handbag,Accessories,249,187,17,Florida,3.6
176,04/12/2022,9:33:00 PM,Top BD Bazar,20,Blouse,Clothing,176,89,11,Wisconsin,3.1
177,04/12/2022,8:38:00 PM,Urbi,25,Scarf,Accessories,167,136,14,Tennessee,2.6
178,04/12/2022,10:00:00 PM,Essence of Silk,56,Jewelry,Accessories,473,90,15,Arizona,3.4
179,04/12/2022,11:08:00 PM,Najia's Bucketlish,63,Skirt,Clothing,1000,266,16,Oregon,2.9
180,04/12/2022,9:46:00 PM,ELA ALI,34,Hoodie,Clothing,2000,403,19,Virginia,5
181,4/13/2022,1:04:00 PM,Emotion Bazaar,29,Scarf,Accessories,3100,358,73,Maryland,4.6
182,4/13/2022,7:35:00 PM,Emporium JFP,43,Jeans,Clothing,2100,324,42,Arkansas,3.3
183,4/13/2022,11:49:00 PM,ZeluXia BD,39,Jacket,Outerwear,375,490,17,Texas,2.9
184,4/13/2022,12:23:00 PM,Ogerio.com,33,T-shirt,Clothing,379,369,13,Vermont,4.9
185,4/13/2022,10:04:00 PM,The Lafz,51,Pants,Clothing,510,1900,393,Wyoming,5
186,4/14/2022,7:37:00 PM,Ohona's Dream World,65,Shoes,Footwear,525,277,26,Alabama,4.5
187,4/14/2022,12:03:00 PM,My Lovely Kitchen,51,Jacket,Outerwear,1400,462,55,Maine,3.7
188,4/14/2022,11:15:00 PM,Cook with Musafa,70,Scarf,Accessories,1500,453,25,South Dakota,2.8
189,4/14/2022,4:40:00 PM,Beautysiaa,40,T-shirt,Clothing,1000,75,5,West Virginia,3.5
190,4/14/2022,11:28:00 PM,My Collection,19,Dress,Clothing,170,90,34,Ohio,3
191,4/15/2022,11:53:00 PM,Try dry Fish,28,Coat,Outerwear,756,520,25,Arizona,4.3
192,4/15/2022,11:30:00 PM,Trendy Beauty Lover,51,Sweater,Clothing,304,89,49,Ohio,3.6
193,4/16/2022,10:43:00 PM,Spark N Shine,32,Hat,Accessories,736,735,397,New Mexico,4.4
194,4/16/2022,2:28:00 PM,Dohora,26,Backpack,Accessories,2000,38,166,South Dakota,4.1
195,4/16/2022,12:45:00 PM,The Lafz,50,Socks,Clothing,1500,3400,94,Oklahoma,2.8
196,4/16/2022,8:29:00 PM,Emporium by Ayaat,68,Jewelry,Accessories,1900,198,49,Connecticut,2.8
197,4/16/2022,10:52:00 PM,JWAF- Our Design Your Desire,33,Boots,Footwear,158,105,23,Wisconsin,4.9
198,4/16/2022,12:18:00 PM,ALLER,56,Coat,Outerwear,252,144,94,New Hampshire,4.1
199,4/17/2022,9:34:00 PM,Groundist,57,Sweater,Clothing,1700,173,5,Nebraska,3
200,4/17/2022,12:47:00 PM,Max's Shoppers,58,Blouse,Clothing,1900,462,24,Nevada,3
201,4/17/2022,4:13:00 PM,Antara's Closet,40,Belt,Accessories,343,107,24,New York,3
202,4/17/2022,11:16:00 PM,Magnific Mart,37,Hat,Accessories,2000,782,7,Pennsylvania,3.2
203,4/18/2022,11:11:00 PM,NOTE Cosmetics Bangladesh,36,Sandals,Footwear,4100,962,102,Delaware,2.7
204,4/18/2022,10:44:00 PM,Dress Maker,29,Boots,Footwear,172,156,196,Mississippi,3.8
205,4/18/2022,9:23:00 PM,A.S Classic Fashion,65,Jacket,Outerwear,197,213,149,Iowa,3.5
206,4/18/2022,12:09:00 PM,La Ta Ra,44,Dress,Clothing,140,74,50,Utah,3.8
207,4/19/2022,10:20:00 PM,What You Like,34,Jeans,Clothing,546,335,193,Maryland,3.8
208,4/19/2022,9:18:00 PM,BlinqDrobe,31,Shorts,Clothing,340,310,9,Utah,3.4
209,4/20/2022,7:49:00 PM,Little Angels,28,Shirt,Clothing,6200,201,66,Rhode Island,2.9
210,4/20/2022,11:03:00 PM,UAE Haul BD,66,Coat,Outerwear,828,207,212,Maryland,3.4
211,4/20/2022,9:03:00 PM,BD Budget Beauty - BBB,68,Coat,Outerwear,3000,982,31,Hawaii,4.7
212,4/21/2022,9:37:00 PM,Hello Baby,37,T-shirt,Clothing,303,229,23,Connecticut,3.9
213,4/21/2022,9:23:00 PM,Amlaki,58,Sweater,Clothing,1300,257,28,Illinois,3.6
214,4/21/2022,5:37:00 PM,ZASKA,28,Skirt,Clothing,1000,195,121,California,3.7
215,4/21/2022,10:19:00 PM,Exclusia,54,Blouse,Clothing,2000,407,18,Connecticut,3.1
216,4/22/2022,3:19:00 PM,Nabila,21,Sneakers,Footwear,1300,69,7,Colorado,4.9
217,4/22/2022,4:30:00 PM,Eziclick,45,Backpack,Accessories,2200,617,39,Colorado,2.6
218,4/23/2022,2:53:00 PM,Nurjahan's,57,Socks,Clothing,291,41,59,Georgia,4.2
219,4/23/2022,7:35:00 PM,Ronger Uthan,47,Jewelry,Accessories,797,301,62,North Dakota,4.8
220,4/23/2022,9:26:00 PM,Flourishes,46,Shorts,Clothing,279,134,165,Idaho,2.7
221,4/23/2022,11:17:00 PM,Face Place Shop,63,Jewelry,Accessories,888,649,62,Connecticut,2.6
222,4/24/2022,11:00:00 PM,Fashion & Beauty by Tanima,44,Sweater,Clothing,1100,164,52,Montana,2.6
223,4/24/2022,12:00:00 PM,Ribana,36,Shirt,Clothing,913,233,20,Colorado,3.1
224,4/24/2022,10:31:00 PM,ABN Destination ,24,Pants,Clothing,400,191,176,Kentucky,2.6
225,4/24/2022,9:25:00 PM,Snigdho Jamdani House,65,Hoodie,Clothing,338,234,172,New Mexico,3.4
226,4/24/2022,10:58:00 PM,Sarafan's Boutique,32,Socks,Clothing,130,95,49,New Jersey,3.6
227,4/25/2022,3:27:00 PM,Diamond Museum,63,Dress,Clothing,383,174,544,California,4.3
228,4/26/2022,10:04:00 PM,Best Branded Cosmetics in BD,62,Blouse,Clothing,475,126,32,North Dakota,4.9
229,4/26/2022,10:35:00 PM,Jamdani Kothon,19,Skirt,Clothing,2500,248,328,Florida,4.8
230,4/27/2022,10:27:00 PM,Glamours dream,38,Backpack,Accessories,665,298,32,Texas,4.2
231,4/28/2022,9:07:00 PM,Buy Genuine Products,59,Blouse,Clothing,1700,1100,111,Oklahoma,2.6
232,4/28/2022,11:57:00 PM,VIVA,22,Socks,Clothing,1300,106,12,Rhode Island,3.2
233,4/29/2022,10:31:00 PM,JAHAN,55,Boots,Footwear,1200,105,1,Arkansas,3.4
234,05/10/2022,8:50:00 PM,Hair Fun By Mehjabin Rinty,29,Backpack,Accessories,614,159,23,Nevada,3.5
235,5/14/2022,10:31:00 PM,BD Fashion Zone,42,Hat,Accessories,355,70,24,Utah,4.2
236,5/14/2022,11:28:00 PM,Arisha Fashion House,23,Sandals,Footwear,2800,1400,71,Kentucky,2.8
237,5/15/2022,9:37:00 PM,GLAMOZEN,70,Hoodie,Clothing,1100,411,51,Wisconsin,5
238,5/17/2022,10:20:00 PM,Kashmiri Beauty By Jinnath,64,Sunglasses,Accessories,8000,5000,91,Minnesota,3.3
239,5/17/2022,8:08:00 PM,Eziclick,39,Jeans,Clothing,6910,3148,133,North Dakota,3.7
240,5/17/2022,8:41:00 PM,Just For Her,47,T-shirt,Clothing,515,272,22,Ohio,2.5
241,5/18/2022,7:47:00 PM,Carnesia,22,Dress,Clothing,877,133,17,Nevada,3.2
242,5/19/2022,7:41:00 PM,Carnesia,69,Belt,Accessories,605,42,7,Kentucky,3.1
243,5/20/2022,10:42:00 PM,Pixie La Bella,35,Jewelry,Accessories,1100,181,51,Kentucky,3.5
244,5/20/2022,11:22:00 PM,Blackbird Boutiques,56,Hoodie,Clothing,800,774,53,Montana,4.6
245,5/20/2022,7:30:00 PM,Eziclick,30,Blouse,Clothing,1900,661,52,Delaware,3.3
246,5/23/2022,8:46:00 PM,Sarafan's Boutique,43,Jacket,Outerwear,119,67,85,Montana,2.5
247,5/23/2022,11:58:00 PM,Boots Keuze,23,Sneakers,Footwear,239,250,3,New Jersey,4.6
248,5/25/2022,8:49:00 PM,JN Fashion,50,Boots,Footwear,398,197,169,Nebraska,4.2
249,5/27/2022,9:40:00 PM,Foreign Touch Bangladesh,41,Blouse,Clothing,445,105,28,Maryland,4
250,5/30/2022,4:36:00 PM,BD G I R L A N A,41,Blouse,Clothing,1200,136,15,Alabama,2.6
251,5/30/2022,6:09:00 PM,La Rosalia,27,Boots,Footwear,8000,454,129,North Carolina,4.6
252,5/31/2022,8:30:00 PM,WOW Collection,38,Scarf,Accessories,409,422,321,Delaware,3.5
253,5/31/2022,3:37:00 PM,Wild Fashion BD,41,Sandals,Footwear,465,49,10,Iowa,4
